Date,Opponent,Result,W-L (Conference),HI Points,HI Rebounds,HI Assists,"Home/Away (Home 1, Away 0)","Win/Loss (Win 1, Loss 0)",Season Start Year,Score,Points Team Scored,Game ID,Team,Field Goal %,Three Point %,Free Throw %,Rebounds,Offensive Rebounds,Defensive Rebounds,Team Rebounds,Assists,Steals,Blocks,Total Turnovers,Fouls,Technical Fouls,Flagrant Fouls,Largest Lead
"Thu, Nov 29",vs Saint Louis,W66-61,3-3 (0-0),Wilcox 27,N'Diaye 8,Andrews 5,1,1,2013,66-61,66,323330264,Washington,43.9,39.1,66.7,35,10,20,5,16,2,5,13,19,0,0,6
"Wed, Jan 9",@ California,W62-47,10-5 (2-0),Wilcox 19,N'Diaye 12,Wilcox 4,0,1,2013,62-47,62,330090025,Washington,36.8,18.2,76.9,53,20,28,5,10,5,6,6,17,0,0,19
"Thu, Jan 31",vs 8 Arizona,L57-53,12-9 (4-4),Wilcox 11,N'Diaye 11,Gaddy 6,1,0,2013,57-53,53,330310264,Washington,35.1,16.7,73.7,41,14,22,5,7,5,6,17,14,0,0,5
"Wed, Mar 13",vs Washington State *,W64-62,18-14 (9-9),Suggs 19,N'Diaye 8,Gaddy 11,1,1,2013,64-62,64,330720264,Washington,46,37,85.7,28,5,18,5,13,6,1,11,13,0,0,1
"Fri, Nov 22",vs Boston College *,L89-78,2-3 (0-0),Wilcox 30,Anderson 8,Williams-Goss 5,1,0,2014,89-78,78,400518814,Washington,55.9,44,80,34,11,23,0,15,2,3,9,13,0,0,
"Tue, Nov 26",vs Montana,W83-79,3-3 (0-0),Wilcox 28,Blackwell 9,Williams-Goss 6,1,1,2014,83-79,83,400498054,Washington,59.6,47.8,46.2,14,1,13,0,15,3,4,6,22,0,0,
"Wed, Feb 12",vs Stanford,W64-60,14-11 (6-6),Wilcox 17,Blackwell 8,Williams-Goss 5,1,1,2014,64-60,64,400506582,Washington,40.4,18.8,61.1,29,10,19,0,6,6,2,9,20,0,0,
"Wed, Feb 19",@ Oregon,L78-71,14-13 (6-8),Blackwell 17,Andrews 7,Williams-Goss 5,0,0,2014,78-71,71,400507057,Washington,43.6,23.5,82.6,33,14,19,0,13,5,2,12,18,0,0,
"Sat, Feb 22",@ Oregon State,W86-62,15-13 (7-8),Wilcox 23,Simmons 11,Williams-Goss 10,0,1,2014,86-62,86,400506562,Washington,57.4,33.3,66.7,43,13,30,0,20,6,0,11,18,0,0,
"Fri, Nov 14",vs South Carolina State,W77-59,1-0 (0-0),Kemp Jr. 17,Williams-Goss 12,Williams-Goss 7,1,1,2015,77-59,77,400593188,Washington,32.9,25,46.2,37,15,22,0,9,6,0,8,18,0,0,
"Fri, Nov 21",@ Seattle U,W63-48,2-0 (0-0),Kemp Jr. 12,Kemp Jr. 7,Williams-Goss 6,0,1,2015,63-48,63,400590732,Washington,37.3,30.8,68.8,40,12,28,0,15,7,10,11,13,1,0,
"Sun, Jan 4",@ Stanford,L68-60 OT,11-3 (0-2),Kemp Jr. 19,Upshaw 10,Williams-Goss 5,0,0,2015,68-60,60,400593250,Washington,38.2,23.5,73.7,37,10,27,0,11,1,5,19,25,0,0,
"Sun, Jan 25",@ 12 Utah,L77-56,14-5 (3-4),Andrews 22,Upshaw 9,Williams-Goss 3,0,0,2015,77-56,56,400593282,Washington,42.3,37.5,54.5,28,12,16,0,6,5,7,12,13,1,0,
"Sun, Feb 8",@ Oregon State,L64-50,14-9 (3-8),Andrews 14,Andrews 8,Williams-Goss 4,0,0,2015,64-50,50,400593302,Washington,35.7,20,73.9,32,12,20,0,10,5,1,22,20,0,0,
"Wed, Feb 25",@ UCLA,L88-66,15-12 (4-11),Andrews 18,Anderson 7,Williams-Goss 8,0,0,2015,88-66,66,400593328,Washington,37.7,41.4,88.9,20,6,14,0,18,10,1,10,15,0,0,
"Fri, Nov 13",vs Texas *,W77-71,1-0 (0-0),Andrews 23,Dime 14,Murray 5,1,1,2016,77-71,77,400818908,Washington,26,13.3,64.6,51,24,27,0,5,7,8,13,28,1,0,3
"Thu, Nov 26",vs Texas *,L82-70,3-2 (0-0),Andrews 20,Murray 9,Andrews 5,1,0,2016,82-70,70,400853969,Washington,39.7,40,71.4,40,19,21,0,10,8,2,10,25,1,0,15
"Sun, Dec 6",vs CSU Fullerton,W87-69,5-2 (0-0),Murray 17,Andrews 10,Murray 5,1,1,2016,87-69,87,400830688,Washington,34.4,36.8,64.5,43,20,23,0,8,10,2,20,24,0,0,11
"Tue, Dec 8",vs TCU,W92-67,6-2 (0-0),Andrews 32,Dickerson 8,Murray 6,1,1,2016,92-67,92,400827744,Washington,42.9,25,45.5,38,17,21,0,7,7,3,26,25,0,0,0
"Tue, Dec 22",vs Seattle U,W79-68,8-3 (0-0),Andrews 18,Dickerson 6,Andrews 8,1,1,2016,79-68,79,400840067,Washington,50,63.6,38.5,32,11,21,0,16,6,2,17,13,0,0,7
"Mon, Dec 28",vs UC Santa Barbara,L83-78,8-4 (0-0),Dime 17,Dime 8,Murray 6,1,0,2016,83-78,78,400841287,Washington,45.5,36.8,88.9,44,14,30,0,15,4,2,17,22,0,0,11
"Fri, Jan 1",vs 25 UCLA,W96-93 2OT,9-4 (1-0),Andrews 35,Dickerson 10,Murray 5,1,1,2016,96-93,96,400841288,Washington,37.7,27.3,76,59,23,36,0,11,10,4,25,31,0,0,10
"Wed, Jan 20",vs Colorado,W95-83,13-5 (5-1),Andrews 33,Andrews 6,Crisp 6,1,1,2016,95-83,95,400841293,Washington,41.8,39.1,69.2,34,16,18,0,12,4,6,16,23,0,0,3
"Sat, Jan 30",@ USC,L98-88,14-7 (6-3),Chriss 18,Chriss 6,Murray 8,0,0,2016,98-88,88,400841296,Washington,36.4,25,85.7,36,18,18,0,18,7,3,10,25,0,0,2
"Sat, Feb 6",vs 23 Arizona,L77-72,15-8 (7-4),Andrews 20,Chriss 7,Murray 4,1,0,2016,77-72,72,400841298,Washington,39.4,31.6,86.4,43,17,26,0,8,7,5,20,20,0,0,6
"Wed, Feb 10",@ Utah,L90-82,15-9 (7-5),Chriss 24,Dime 9,Andrews 5,0,0,2016,90-82,82,400841299,Washington,47.8,31.8,90,34,14,20,0,16,7,6,16,17,0,0,4
"Wed, Mar 9",vs Stanford *,W91-68,18-13 (9-9),Murray 25,Chriss 10,Andrews 9,1,1,2016,91-68,91,400870229,Washington,38.3,14.3,61.3,39,12,27,0,9,7,2,15,29,0,0,0
"Sun, Nov 13",vs Yale,L98-90,0-1 (0-0),Fultz 30,Fultz 7,Fultz 6,1,0,2017,98-90,90,400915493,Washington,46.5,44.4,70.6,42,21,21,0,20,6,0,7,22,0,0,20
"Fri, Nov 25",vs Western Kentucky *,W86-47,4-1 (0-0),Green 20,Timmins 12,Fultz 10,1,1,2017,86-47,86,400915526,Washington,38.7,40.9,70.4,60,19,41,0,16,7,13,10,19,0,0,41
"Sat, Nov 26",vs TCU *,L93-80,4-2 (0-0),Fultz 27,Dickerson 10,Fultz 4,1,0,2017,93-80,80,400927025,Washington,45.9,27.8,82.6,29,12,17,0,13,8,4,18,25,0,0,0
"Wed, Nov 30",@ TCU,L86-71,4-3 (0-0),Fultz 21,Fultz 14,Fultz 6,0,0,2017,86-71,71,400915536,Washington,45.8,83.3,38.9,46,19,27,0,14,5,6,25,23,0,0,17
"Sat, Jan 7",vs Oregon State,W87-61,8-7 (1-2),Fultz 20,Dickerson 9,Crisp 10,1,1,2017,87-61,87,400915612,Washington,41.8,30.8,73.3,29,10,19,0,6,2,1,15,14,0,0,1
"Thu, Jan 12",@ California,L69-59,8-8 (1-3),Crisp 16,Dickerson 9,Fultz 4,0,0,2017,69-59,59,400915618,Washington,35.5,35.7,58.8,40,18,22,0,11,4,7,7,20,0,0,2
"Wed, Jan 18",vs Colorado,W85-83 OT,9-9 (2-4),Fultz 37,Dickerson 7,Fultz 8,1,1,2017,85-83,85,400915629,Washington,44.6,33.3,64.7,48,20,28,0,17,3,6,15,19,0,0,17
"Sat, Jan 21",vs Utah,L94-72,9-10 (2-5),Fultz 30,Fultz 7,Fultz 4,1,0,2017,94-72,72,400915637,Washington,60,58.3,56.3,41,9,32,0,15,4,2,8,21,0,0,22
"Wed, Feb 1",vs USC,L82-74,9-13 (2-8),Fultz 20,Dickerson 9,Fultz 6,1,0,2017,82-74,74,400915651,Washington,45.9,35.3,74.1,34,8,26,0,18,14,5,12,18,0,0,8
"Sat, Mar 4",@ USC,L74-58,9-21 (2-16),Dickerson 27,Dickerson 8,Crisp 4,0,0,2017,74-58,58,400915702,Washington,42,26.3,52.4,28,10,18,0,11,8,0,16,22,0,0,10
"Mon, Mar 19",@ 1 Saint Mary's,L85-81,21-13 (10-8),Dickerson 22,Dickerson 9,Thybulle 4,0,0,2018,85-81,81,401022809,Washington,55.2,42.9,66.7,21,8,13,0,11,10,6,9,16,0,0,0
"Sun, Dec 10",vs 12 Gonzaga,L97-70,7-3 (0-0),Dickerson 18,Nowell 5,Nowell 4,1,0,2018,97-70,70,400986883,Washington,50.8,35.7,80.8,40,13,27,0,20,9,2,8,18,0,0,28
"Tue, Dec 19",vs Bethune-Cookman,W106-55,9-3 (0-0),Crisp 18,Timmins 7,Nowell 5,1,1,2018,106-55,106,400988277,Washington,28.1,26.1,81.3,39,19,20,0,10,4,2,24,16,0,0,1
"Thu, Jan 11",vs California,W66-56,13-4 (3-1),Nowell 20,Dickerson 6,Wright 4,1,1,2018,66-56,66,400988312,Washington,42.3,35.7,41.2,28,10,18,0,9,11,2,18,20,1,0,3
"Thu, Jan 18",@ Utah,L70-62,13-6 (3-3),Nowell 17,Timmins 9,Nowell 2,0,0,2018,70-62,62,400988324,Washington,38.5,11.1,55.6,38,17,21,0,6,9,5,12,25,0,0,1
"Thu, Feb 1",vs 25 Arizona State,W68-64,16-6 (6-3),Dickerson 21,Dickerson 16,Nowell 3,1,1,2018,68-64,68,400988344,Washington,44.4,26.3,64.7,32,8,24,0,14,6,3,15,18,1,0,2
"Thu, Feb 8",@ Oregon,L65-40,17-7 (7-4),Dickerson 14,Dickerson 11,Crisp 2,0,0,2018,65-40,40,400988354,Washington,27.8,17.6,63.6,33,10,23,0,6,5,4,16,19,0,0,3
"Wed, Nov 21",vs Minnesota *,L68-66,4-2 (0-0),Dickerson 28,Dickerson 7,Nowell 2,1,0,2019,68-66,66,401087180,Washington,50,21.4,70.8,30,8,22,0,7,4,8,17,24,1,0,9
"Sun, Dec 2",vs UC Santa Barbara,W67-63,6-2 (0-0),Dickerson 22,Dickerson 8,Nowell 5,1,1,2019,67-63,67,401087181,Washington,41.5,40,52.4,35,11,24,0,12,8,1,17,23,0,0,2
"Wed, Dec 5",@ 1 Gonzaga,L81-79,6-3 (0-0),Nowell 26,Dickerson 7,Nowell 6,0,0,2019,81-79,79,401083631,Washington,47.5,33.3,93.3,30,8,22,0,15,5,3,9,20,0,0,3
"Sat, Jan 12",@ Colorado,W77-70,12-4 (3-0),Nowell 19,Dickerson 8,Nowell 5,0,1,2019,77-70,77,401087087,Washington,55.1,45,66.7,31,6,25,0,9,8,6,16,22,0,0,15
"Sun, Nov 24",vs San Diego,W88-69,5-1 (0-0),Stewart 25,Stewart 7,Green 10,1,1,2020,88-69,88,401170595,Washington,44.8,45,61.5,27,9,18,0,15,5,2,13,19,0,0,5
"Wed, Dec 4",vs Eastern Washington,W90-80,7-1 (0-0),Green 20,Carter 6,Green 8,1,1,2020,90-80,90,401166467,Washington,43.3,31.3,54.5,35,15,20,0,17,5,1,17,27,0,0,9
"Sun, Dec 22",vs Ball State *,W85-64,9-2 (0-0),McDaniels 22,Stewart 10,Green 6,1,1,2020,85-64,85,401170075,Washington,38.6,29.2,86.7,29,10,19,0,8,3,2,15,14,0,0,3
"Thu, Jan 23",@ Utah,L67-66,12-8 (2-5),McDaniels 14,Wright 9,Wright 4,0,0,2020,67-66,66,401170679,Washington,51.1,45,78.6,29,5,24,0,16,7,4,17,26,2,0,12
"Sun, Feb 9",@ Washington State,L79-67,12-12 (2-9),Carter 18,Stewart 7,McDaniels 3,0,0,2020,79-67,67,401170707,Washington,42.4,28,58.8,33,8,25,0,9,5,4,17,23,0,0,1
"Sat, Feb 22",vs California,W87-52,13-15 (3-12),Carter 16,McDaniels 7,McDaniels 5,1,1,2020,87-52,87,401170729,Washington,23.9,15.4,77.8,28,10,18,0,6,5,3,17,24,2,0,6
